ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
VRSN,Verisign,2026-06,25,2,0,1,0,0.0,0.5
VRT,Vertiv,2026-06,25,5,0,0,2,0.0,0.4
VRTX,Vertex Pharmaceuticals,2026-06,25,7,1,0,3,0.14285714285714285,0.5714285714285714
VST,Vistra Corp.,2026-06,25,0,0,0,0,,
VTR,Ventas,2026-06,25,1,0,0,0,0.0,0.0
VTRS,Viatris,2026-06,25,5,0,0,0,0.0,0.0
VZ,Verizon,2026-06,25,25,13,1,7,0.52,0.84
W,Wayfair,2026-06,25,10,2,0,0,0.2,0.2
WAB,Wabtec,2026-06,25,11,0,0,2,0.0,0.18181818181818182
WAT,Waters Corporation,2026-06,25,0,0,0,0,,
WBA,Walgreens,2026-06,25,4,2,1,0,0.5,0.75
WBD,Warner Bros. Discovery,2026-06,25,17,2,3,0,0.11764705882352941,0.29411764705882354
WDAY,Workday Inc.,2026-06,25,16,6,4,0,0.375,0.625
WDC,Western Digital,2026-06,25,2,0,0,0,0.0,0.0
WEC,WEC Energy Group,2026-06,25,6,0,0,0,0.0,0.0
WELL,Welltower,2026-06,25,3,0,0,0,0.0,0.0
WFC,Wells Fargo,2026-06,25,20,3,5,6,0.15,0.7
WM,Waste Management,2026-06,25,0,0,0,0,,
WMB,Williams Companies,2026-06,25,1,1,0,0,1.0,1.0
WMT,Walmart,2026-06,25,24,20,2,2,0.8333333333333334,1.0
WOOF,Petco,2026-06,25,5,2,0,0,0.4,0.4
WRB,W. R. Berkley Corporation,2026-06,25,4,2,1,1,0.5,1.0
WSM,Williams-Sonoma,2026-06,25,5,1,0,0,0.2,0.2
WST,West Pharmaceutical Services,2026-06,25,1,0,0,0,0.0,0.0
WTW,Willis Towers Watson,2026-06,25,1,1,0,0,1.0,1.0
WY,Weyerhaeuser,2026-06,25,3,2,1,0,0.6666666666666666,1.0
WYNN,Wynn Resorts,2026-06,25,1,0,0,0,0.0,0.0
XEL,Xcel Energy,2026-06,25,3,0,0,0,0.0,0.0
XOM,Exxon Mobil,2026-06,25,8,3,0,0,0.375,0.375
XYL,Xylem Inc.,2026-06,25,3,0,0,0,0.0,0.0
XYZ,Block Inc.,2026-06,25,13,7,1,0,0.5384615384615384,0.6153846153846154
YUM,Yum! Brands,2026-06,25,7,1,2,0,0.14285714285714285,0.42857142857142855
ZBH,Zimmer Biomet,2026-06,25,9,0,0,1,0.0,0.1111111111111111
ZBRA,Zebra Technologies,2026-06,25,12,2,3,0,0.16666666666666666,0.4166666666666667
ZTS,Zoetis,2026-06,25,5,1,0,0,0.2,0.2
